frame,time,direction,hex,raw_packet,packet
760,14.826167,H->D,0cb50200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 181, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData
761,14.826206,H->D,,-,-
762,14.826271,D->H,41b582020100000b4f0f000006000000a40f0000120000000810000070000000540d0400797e1f03f900817e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 181, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""O\x0f\0\0\x06\0\0\0\xa4\x0f\0\0\x12\0\0\0\x08\x10\0\0p\0\0\0T\r\x04\0y~\x1f\x03\xf9\0\x81~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.003919, ibus_a: 6e-6, power_w: 2.3513999999999998e-8, vbus_avg_v: 0.004004, ibus_avg_a: 1.8e-5, temp_c: 26.0, vdp_v: 0.0799, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2377, cc2_avg_v: 0.3236, internal_vdd_v: 3.2385, sample_rate: Sps1 })"
763,14.826708,D->H,,-,-
764,14.836032,H->D,0cb62000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 182, attribute: 16 }, payload: b"""" }",CmdGetPdData
765,14.836073,H->D,,-,-
766,14.836107,D->H,41b6820010000003f55a0800030000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 182, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xf5Z\x08\0\x03\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xf5Z\x08\0\x03\0\0\0\0\0\xa5\x0c"")"
767,14.836478,D->H,,-,-
768,14.876047,H->D,0cb72000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 183, attribute: 16 }, payload: b"""" }",CmdGetPdData
769,14.876088,H->D,,-,-
